species,label,speciescn,taxid,groups,description
Streptococcus vestibularis,Pathogenicity,前庭链球菌,1343,bacteria,前庭链球菌是一种α溶血性链球菌，是viridans组的成员，该组首先从人口腔的前庭粘膜中分离出来，与唾液链球菌存在共生现象。并于1988年被描述为新物种。它很少与人类感染相关。有报道称它是免疫抑制成人和患有其他严重基础疾病（例如冠状动脉瓣膜疾病）患者全身感染的病因。与感染性心内膜炎、椎骨骨髓炎以及大肠癌等胃肠道疾病有一定相关性。临床曾报道一例ICRS植入后由前庭链球菌引起的角膜炎，起病症状为眼红眼痛、视力丧失，眼科检查发现有沿环段的点状白色浸润和角膜基质水肿。
Suid alphaherpesvirus 1,Both,猪疱疹viral1 型/伪狂犬病viral,10345,viral,猪疱疹viral 1 型，又称为伪狂犬病viral，是一种双链 DNA 包膜viral，以猪为自然宿主，可感染多种家畜及野生动物。2018 年以来，相继有研究者在基因水平上证实了人感染 PRV 病例的存在。结合已报道病例， 人感染猪疱疹viral 1 型可引起脑炎、视网膜炎或眼内炎。
Torque teno midi virus 8,Background,TTMDV,2065049,viral,常见背景微生物
Torque teno virus,Background,TTV,68887,viral,常见背景微生物
Torque teno virus 10,Background,TTV-10,687349,viral,常见背景微生物
Torque teno virus 11,Background,TTV-11,687350,viral,常见背景微生物
Torque teno virus 12,Background,TTV-12,687351,viral,常见背景微生物
Torque teno virus 13,Background,TTV-13,687352,viral,常见背景微生物
Torque teno virus 16,Background,TTV-16,687355,viral,常见背景微生物
Torque teno virus 18,Background,TTV-18,687357,viral,常见背景微生物
Torque teno virus 19,Background,TTV-19,687358,viral,常见背景微生物
Torque teno virus 20,Background,TTV-20,687359,viral,常见背景微生物
Torque teno virus 22,Background,TTV-22,687361,viral,常见背景微生物
Torque teno virus 24,Background,TTV-24,687363,viral,常见背景微生物
Torque teno virus 27,Background,TTV-27,687366,viral,常见背景微生物
Torque teno virus 29,Background,TTV-29,687368,viral,常见背景微生物
Torque teno virus 7,Background,TTV-7,687346,viral,常见背景微生物
Toxoplasma gondii,Both,刚地弓形虫,5811,protozoa,弓形虫是一种专性细胞内原虫。弓形虫病是由刚地弓形虫引起的感染性疾病，表现为中枢神经系统和其他系统受累。刚地弓形虫可引起眼弓形虫病，其主要表现为弓形虫性视网膜脉络膜炎，典型的眼部表现为局灶性坏死性视网膜炎，活动性与陈旧性往往同时存在，形成“卫星”状病灶。
Treponema pallidum,Both,梅毒螺旋体,160,bacteria,梅毒螺旋体可引起梅毒，梅毒是一种性传播或血源性感染疾病，在眼部可引起多种类型的梅毒性葡萄膜炎，如角膜葡萄膜炎、急性虹膜睫状体炎、脉络膜视网膜炎、视网膜血管炎等。
Vittaforma corneae,Both,Vittaforma corneae,42399,fungi,Vittaformacorneae通过感染性孢子通过空气或水传播。Vittaforma corneae可引起角结膜炎，其病程较长，表现为眼红眼痛，基质浸润和角膜变薄，Vittaforma corneae也被报道可引起微孢子虫性眼内炎，可有玻璃体出血、多灶性视网膜炎、动脉炎和黄斑水肿渗出表现。
Weizmannia coagulans,Both,凝结芽孢杆菌,1398,bacteria,又称Bacillus coagulans，凝结芽孢杆菌是兼性厌氧革兰氏阳性菌，在有氧及无氧的环境下都可生长，能适应低氧的肠道环境，对酸和胆汁有较高的耐受性，能够进行乳酸发酵，产生的L-乳酸能降低肠道pH值，抑制有害菌，并能促进双歧杆菌等有益菌的生长和繁殖。凝结芽孢杆菌能够形成芽孢，与其他不产乳酸的芽孢杆菌相比有利于恢复胃肠道的微生态平衡。由于其优异的稳定性，它已被广泛应用于医药，食品和化学工业。该属微生物易引起免疫低下患者角膜感染，其中最常见的眼科病原体为蜡样芽胞杆菌。
